"simulation","statistic","p_value","asymptotic_statistic","asymptotic_p_value","score_stationarity","information_rank","covariance_rank","nu","loglik","elapsed_seconds","error"
56,19.6003074581411,0.3195,55.6045888775807,0.210172525037235,0.0662030742734826,66,48,21.9705759817616,-33373.1732230368,25.092,NA
57,18.681808336366,0.418,67.2801298376485,0.0344658394042481,0.0635450705163295,66,48,19.2305638852274,-33475.7387566871,25.294,NA
58,16.4709935747928,0.5625,60.3917226444714,0.10812283295011,0.0568396667191407,66,48,18.7143582535878,-33454.6397189506,24.061,NA
59,13.8107906227965,0.76,45.0467060020145,0.59459090422265,0.0540774690011154,66,48,17.7645236962654,-33488.2835306273,23.765,NA
60,29.0408678897329,0.029,70.9506466225763,0.0172819583693677,0.0525291607520376,66,48,17.321212043724,-33435.3346750025,25.493,NA
61,17.9175492674151,0.4395,67.5451657571248,0.0328488862783237,0.0650974397582505,66,48,21.660868165969,-33408.6925376222,23.986,NA
62,13.2815791505809,0.79,34.2390241176715,0.93280146643185,0.0688302092692434,66,48,20.6396811115502,-33218.2592560281,21.146,NA
63,21.3729440622781,0.24,75.0945371516527,0.00745832474119582,0.0523866997784372,66,48,18.2867844587998,-33526.2400275836,25.169,NA
64,25.4404940504531,0.089,61.1709085221861,0.0960241533742174,0.0561193340620788,66,48,17.4453957882819,-33596.5381791878,24.518,NA
65,13.6309165695205,0.768,47.3065998512859,0.501166251853667,0.0538124075729484,66,48,18.4719324517362,-33660.9406434811,25.133,NA
66,9.80472677122163,0.954,46.0259134765523,0.554076025647074,0.0630246276357345,66,48,19.304224067258,-33284.9845373181,23.3819999999999,NA
67,27.429613155234,0.0565,61.0406547268335,0.0979673643742253,0.0532412575855164,66,48,18.6230923710223,-33677.4199153049,26.73,NA
68,26.1873394333429,0.0815,61.9683827891022,0.0847943841719757,0.057325583420606,66,48,19.2539149575276,-33277.2332408423,23.369,NA
69,21.1828094658121,0.252,61.7920848670695,0.0871800601968982,0.0638915483015287,66,48,20.3899781413008,-33451.2805971215,23.243,NA
70,18.0301673539793,0.449,47.733571315224,0.483689037164231,0.0569192077783441,66,48,19.9103361656566,-33644.1599462606,26.884,NA
71,23.5402934551406,0.1345,71.7439905291595,0.0147852507626059,0.0616027288227323,66,48,19.661533705145,-33350.0260332459,24.105,NA
72,23.5380873719193,0.1485,71.6051589221324,0.015197106741555,0.0560532123813328,66,48,18.2962092900674,-33199.4744865059,24.297,NA
